時間経過 (h),全天日射量(W/m2),大気放射量(W/m2)
0.5,0 ,313 
1.0,0 ,313 
1.5,0 ,312 
2.0,0 ,311 
2.5,0 ,311 
3.0,0 ,310 
3.5,0 ,310 
4.0,0 ,310 
4.5,0 ,310 
5.0,0 ,311 
5.5,0 ,311 
6.0,0 ,313 
6.5,0 ,314 
7.0,28 ,316 
7.5,80 ,318 
8.0,149 ,320 
8.5,223 ,323 
9.0,295 ,326 
9.5,357 ,329 
10.0,408 ,331 
10.5,446 ,334 
11.0,469 ,337 
11.5,476 ,339 
12.0,467 ,340 
12.5,443 ,342 
13.0,404 ,342 
13.5,351 ,342 
14.0,288 ,342 
14.5,216 ,341 
15.0,142 ,340 
15.5,73 ,339 
16.0,24 ,337 
16.5,0 ,335 
17.0,0 ,332 
17.5,0 ,330 
18.0,0 ,328 
18.5,0 ,326 
19.0,0 ,324 
19.5,0 ,322 
20.0,0 ,321 
20.5,0 ,320 
21.0,0 ,318 
21.5,0 ,318 
22.0,0 ,317 
22.5,0 ,316 
23.0,0 ,315 
23.5,0 ,315 
24.0,0 ,314 
